2018-03-13,FOX Movies,Chronicle,2012,"['Dane DeHaan', 'Alex Russell', 'Michael B. Jordan', 'Michael Kelly', 'Ashley Grace', 'Ashley Hinshaw', 'Bo Petersen']",{'fox': ['9f294b74d1b041c77af30fd04efaadb3']}
2018-03-13,FOX Movies,Click,2006,"['Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'Henry Winkler', 'David Hasselhoff', 'Julie Kavner']",{'fox': ['35443d0fa5e3ce018f95c76940a7901f']}
2018-03-13,FOX Movies,The Croods,2013,"['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds', 'Catherine Keener', 'Clark Duke', 'Cloris Leachman']",{'fox': ['722761de08048fa2edfea1e37f767b69']}
2018-03-13,FOX Movies,Devil's Due,2014,"['Zach Gilford', 'Allison Miller', 'Robert Belushi', 'Sam Anderson', 'Catherine Kresge', 'Michael Papajohn']",{'fox': ['5af4c77aac0b3f3449c698bf2a5f8d39']}
2018-03-13,FOX Movies,Dumb and Dumber To,2014,"['Jim Carrey', 'Jeff Daniels', 'Rob Riggle', 'Laurie Holden', 'Rachel Melvin', 'Kathleen Turner']",{'fox': ['69e66020579a16dd2c30f04ee122664b']}
2018-03-13,FOX Movies,Elysium,2013,"['Matt Damon', 'Jodie Foster', 'Sharlto Copley', 'Alice Braga', 'Diego Luna', 'Wagner Moura']",{'fox': ['8dc94780a7a7b8e1a39cca1e69a4703d']}
2018-03-13,FOX Movies,Endless Love,2014,"['Alex Pettyfer', 'Gabriella Wilde', 'Bruce Greenwood', 'Joely Richardson', 'Robert Patrick', 'Rhys Wakefield']",{'fox': ['f9f07af2eff6cdc7cea66bdccd6d551a']}
2018-03-13,FOX Movies,Epic,2013,"['Colin Farrell', 'Josh Hutcherson', 'Amanda Seyfried', 'Christoph Waltz', 'Aziz Ansari', ""Chris O'Dowd""]",{'fox': ['79633764fb96d6a19582fc9113de115c']}
2018-03-13,FOX Movies,The Equalizer,2014,"['Denzel Washington', 'Marton Csokas', 'Chlo Grace Moretz', 'David Harbour', 'Haley Bennett', 'Bill Pullman']",{'fox': ['04bc5bd91a486d27dcea887be725e1dd']}
2018-03-13,FOX Movies,Fantastic Four,2015,"['Miles Teller', 'Kate Mara', 'Michael B. Jordan', 'Jamie Bell', 'Toby Kebbell', 'Reg E. Cathey']",{'fox': ['3e6b3422e296a71c1fddbb167e22180a']}
