Scraped Date,Category,Series Title,Release Year,Season Number,Episode Number,Episode Title,Links
2018-04-10,TBS Shows,The Cleveland Show,2009,3,17,AMERICAN PRANKSTER,{'tbs': ['106d035962fa0c72e14d1c4cc3a292ac7b2af31d']}
2018-04-10,TBS Shows,Family Guy,1999,3,11,EMISSION IMPOSSIBLE,{'tbs': ['cb387e8b19573c8d9719f6a83c053c9303a10113']}
2018-04-10,TBS Shows,Family Guy,1999,3,18,FROM METHOD TO MADNESS,{'tbs': ['5aba785770e62483ddcf78bfb93e727eb6f07467']}
2018-04-10,TBS Shows,Family Guy,1999,4,15,BRIAN GOES BACK TO COLLEGE,{'tbs': ['41641297527580778e7d282dc5d0da4c7eb52482']}
2018-04-10,TBS Shows,Family Guy,1999,7,5,THE MAN WITH TWO BRIANS,{'tbs': ['8dbef30364d2e1a58f9ae6b13297974dc49a261c']}
2018-04-10,TBS Shows,Family Guy,1999,7,13,STEW-ROIDS,{'tbs': ['c02f64dfa2d8af474af8d27b8994093a81855c13']}
2018-04-10,TBS Shows,Family Guy,1999,8,17,BRIAN AND STEWIE,{'tbs': ['625ff1862a2eb15e2a65208f773c6779d389c6ce']}
2018-04-10,TBS Shows,Family Guy,1999,12,6,LIFE OF BRIAN,{'tbs': ['135a9335a5f597c78fcb70cfd3cedba516dcf8d5']}
2018-04-10,TBS Shows,Family Guy,1999,12,19,MEG STINKS!,{'tbs': ['4fb63f7dafc990e10dc9cacb6c75947187ba68d7']}
2018-04-10,TBS Shows,Family Guy,1999,14,13,AN APP A DAY,{'tbs': ['d2d6f5894878578f96eef27e74a3f498a3da204f']}
2018-04-10,TBS Shows,Family Guy,1999,14,15,A LOT GOING ON UPSTAIRS,{'tbs': ['bd978adcdc5c8c550686b49d9a58943df8e76687']}
2018-04-10,TBS Shows,Friends,1994,7,12,THE ONE WHERE THEY'RE UP ALL NIGHT,{'tbs': ['716fe44f9158b2aeec92716f94ca340cc3930aef']}
2018-04-10,TBS Shows,Friends,1994,7,13,THE ONE WHERE ROSITA DIES,{'tbs': ['85107d6929e1987a6c7ef2aec79282be1ee218a4']}
2018-04-10,TBS Shows,Friends,1994,7,14,THE ONE WHERE THEY ALL TURN THIRTY,{'tbs': ['d972703ee9ba2792b132dc58591fe85b03fd4e21']}
2018-04-10,TBS Shows,Friends,1994,7,15,THE ONE WITH JOEY'S NEW BRAIN,{'tbs': ['8e82af8367b8bd5eb7d24bd4f3c962a99aa1a987']}
2018-04-10,TBS Shows,Friends,1994,9,9,THE ONE WITH RACHEL'S PHONE NUMBER,{'tbs': ['e5451e20c8d76bb286593f306e4e6dac60a133d5']}
2018-04-10,TBS Shows,The King Of Queens,2007,4,1,"WALK, MAN",{'tbs': ['0d110d33751a90e3315edee4b44f8e7c822fdeff']}
2018-04-10,TBS Shows,The King Of Queens,2007,4,2,SIGHT GAG,{'tbs': ['18253d6f3c8236ecc86d0d6827043c53a53e349f']}
2018-04-10,TBS Shows,The King Of Queens,2007,6,21,TANK HEAVEN,{'tbs': ['c8f1f6fd542d7bb61115cfc40d6c71d4497bb1ae']}
2018-04-10,TBS Shows,The King Of Queens,2007,6,22,ALTER EGO,{'tbs': ['8bacf9cbb3a3b90e5fd27a4802956662dd9eec4f']}
2018-04-10,TBS Shows,The King Of Queens,2007,6,23,ICKY SHUFFLE,{'tbs': ['63cccb3dbbe08ccaf12b8c39a35daa27ee86a800']}
2018-04-10,TBS Shows,The King Of Queens,2007,6,24,AWFUL BIGAMY,{'tbs': ['fa44abce358f4420e8c42859e509393efee6d0bc']}
2018-04-10,TBS Shows,The King Of Queens,2007,8,8,MOVE DOUBT,{'tbs': ['fd50f01179864549ce9dd4dd37d81cc3e7f5218d']}
2018-04-10,TBS Shows,The King Of Queens,2007,8,9,"G'NIGHT, STALKER",{'tbs': ['12ea9bcc88d23d1e7a33d04407e556950fdaf618']}
2018-04-10,TBS Shows,Married With Children,1987,1,10,AL LOSES HIS CHERRY,{'tbs': ['21fc36ad346a9daebfef983cf5012d2c8afc16e1']}
2018-04-10,TBS Shows,Married With Children,1987,1,11,NIGHTMARE ON AL'S STREET,{'tbs': ['e1d81701b8cc6cf45cb5230b55a69ca96f5fa25f']}
2018-04-10,TBS Shows,Married With Children,1987,1,12,WHERE'S THE BOSS?,{'tbs': ['18278a8ad4a7b11b640b7b386e33e8d5cc896230']}
2018-04-10,TBS Shows,Married With Children,1987,1,13,JOHNNY B. GONE,{'tbs': ['2488b76dbe2e4397af2c900bbf43eb1a064ee7b3']}
2018-04-10,TBS Shows,Married With Children,1987,2,1,POPPY'S BY THE TREE (1),{'tbs': ['d83b7ce28cf831a1d5981ce73eb4c6c5aa85459d']}
2018-04-10,TBS Shows,Married With Children,1987,2,2,POPPY'S BY THE TREE (2),{'tbs': ['abefc8e22035531362df36f11d61aa743f01e8c3']}
2018-04-10,TBS Shows,Married With Children,1987,2,3,IF I WERE A RICH MAN,{'tbs': ['f72f8ecfd0a4ac66c4577516f39fc0c4b4232e96']}
2018-04-10,TBS Shows,Married With Children,1987,2,4,BUCK CAN DO IT,{'tbs': ['e859e2bff64286f6964eaba2f5570a07cd7153da']}
2018-04-10,TBS Shows,Married With Children,1987,3,13,"A THREE JOB, NO INCOME FAMILY",{'tbs': ['56c23d6f6e573019b28f48c4e57903476fdce4f0']}
2018-04-10,TBS Shows,Married With Children,1987,3,14,THE HARDER THEY FALL,{'tbs': ['b27cff09f3a1e49afd575f630be602964f5a9b9b']}
2018-04-10,TBS Shows,Seinfeld,1989,5,1,THE MANGO,{'tbs': ['670a6494370a7ea4912a352e5b8b8638d46e8dc0']}
2018-04-10,TBS Shows,Seinfeld,1989,5,4,THE SNIFFING ACCOUNTANT,{'tbs': ['5ccc2c14291767bf34c759793eee2deb10d5917a']}
2018-04-10,TBS Shows,Seinfeld,1989,5,5,THE BRIS,{'tbs': ['5dc3f83de1395b441733e1d4d315e8a9af1f8e64']}
2018-04-10,TBS Shows,Seinfeld,1989,5,6,THE LIP READER,{'tbs': ['21949c974f1a16ea40ba6df84c53ce1007117784']}
2018-04-10,TBS Shows,Seinfeld,1989,5,8,THE BARBER,{'tbs': ['a59c3257462f08bdd6eab5700efd98f6f0da4755']}
2018-04-10,TBS Shows,Seinfeld,1989,8,18,THE NAP,{'tbs': ['f855f04e5453354ba7a007528eea76ed565af7b7']}
2018-04-10,TBS Shows,Seinfeld,1989,8,19,THE YADA YADA,{'tbs': ['ebafbfc5fc296d69485b927abc1876f75cf292fa']}
2018-04-10,TBS Shows,Seinfeld,1989,8,20,THE MILLENNIUM,{'tbs': ['855b80efaddc00fcd3d62a2f394242ff5b851873']}
2018-04-10,TBS Shows,Seinfeld,1989,8,21,THE MUFFIN TOPS,{'tbs': ['c5180abc4c938e853afaf89d59fb937b999567c1']}
2018-04-10,TBS Shows,Seinfeld,1989,8,22,THE SUMMER OF GEORGE,{'tbs': ['f6bc7c7488c4f7d23810c775f67efe71c81c267d']}
