48 Hours,0,A Vision of Murder, 28,19,{'nbc': ['3lIDw2_vD3Nf5jrdzvV5jHxJuEXyBpvY']}
48 Hours,0,Paradise Lost, 27,1,{'nbc': ['38mM0j9648s7EIjQ_xuLr0yqJIravNWO']}
48 Hours,0,The Hit, 27,3,{'nbc': ['QtZw_wHsNIprTYP9DwUcijXqZMUXZ61M']}
48 Hours,0,Kristen's Secret, 27,4,{'nbc': ['YjNEYHvKv9TISHKOIxbvQNeL2vtALttk']}
48 Hours,0,"""48 Hours"" Live to Tell: I Remember Everything", 27,5,{'nbc': ['ud0cO_GkP_pSU1HgKb6IvOYr8NVWiOIc']}
48 Hours,0,The Pact, 27,6,{'nbc': ['QGBo7H43lTkRZuNf8bb0su5iteLPQgMq']}
48 Hours,0,Prison Diaries, 27,7,{'nbc': ['KcrR9bSuHhpnbRYQMiEL32Lsc9uI6SRN']}
48 Hours,0,Devil's Island, 27,8,{'nbc': ['E49kjONQQo3bhHqTm7LZwnUEQuCQNyLJ']}
48 Hours,0,The Girl Next Door, 27,9,{'nbc': ['IxJvOB1TF7ZoB8b_o7rtsynwYPsPFRxJ']}
48 Hours,0,The Sober Truth, 27,10,{'nbc': ['A1tQVHcGPKZYB0x0O2V_WxRIuR80HN24']}
48 Hours,0,Last Chance, 27,11,{'nbc': ['eyP_RDSTf1x3d7sh5bg33KbucQgLivmU']}
48 Hours,0,Crazy Love, 27,12,{'nbc': ['Gt1CPcvwPutfmtQf24DgZVni3kCvtcet']}
48 Hours,0,The two faces of Todd Winkler, 27,13,{'nbc': ['W5Seo94m1R7zqCMp0D4TapuIkx4hlKGc']}
48 Hours,0,Dangerous Games, 27,22,{'nbc': ['Q_UcIcVdUfHI9mp_N0jv_eq9AqEazD8C']}
48 Hours,0,Fall from Grace, 27,23,{'nbc': ['yeKszKmuOHBhpXz76tlTfTiKsuAmPjzx']}
48 Hours,0,The Sweetheart Murders, 26,1,{'nbc': ['DMvmTtze4fTSNlJXAAl5CQkQCu8izQ3T']}
48 Hours,0,"Spies, Lies & Secrets", 26,2,{'nbc': ['ZlR7rdXAZJVknGT1lVXgft1sTMFMqN9v']}
48 Hours,0,Death at Cottonwood Creek, 26,3,{'nbc': ['c0l2ce5qwf7AMb2_6TxKw71kqfi27n0c']}
48 Hours,0,aka Rockefeller, 26,4,{'nbc': ['wkR2dcelPNzH_0_elVy5Up9tG1EonFk2']}
48 Hours,0,The Ghosts of Greenwich, 26,5,{'nbc': ['1M7G5CGkTgAT5NyF29fobC4WGYsiwHVf']}
48 Hours,0,Loved to Death, 26,6,{'nbc': ['PS3No1kF7b6v0SFPdll08ZJN8JRSEm3B']}
48 Hours,0,"""48 Hours"": Relentless", 26,7,{'nbc': ['20iQfbufGwcysnoe3YCAr2s5Sh_OZoRF']}
48 Hours,0,The Devil's Twin, 26,9,{'nbc': ['em8iiERv12L7hu_8PMtIc6WBOQrkU7_O']}
48 Hours,0,Hollywood Secrets, 26,10,{'nbc': ['MZyu8qTwTbuEDWgU34KIdGD7k94Idlj5']}
48 Hours,0,Walking Free, 26,11,{'nbc': ['5QK1jMCPqeTZ2b_5eVUn6bNjYmO_Heg8']}
48 Hours,0,"Love, Hate & Obsession", 26,13,{'nbc': ['JdsdVk12m7ZxHq9jnqIJ3KBOfABj2VVi']}
