2018-07-20,NBC Shows,A.P. BIO,2018,1,13,Drenching Dallas,{'nbc': ['3710749']}
2018-07-20,NBC Shows,A.P. BIO,2018,1,12,Walleye,{'nbc': ['3707075']}
2018-07-20,NBC Shows,A.P. BIO,2018,1,11,Eight Pigs and a Rat,{'nbc': ['3701492']}
2018-07-20,NBC Shows,A.P. BIO,2018,1,10,Durbin Crashes,{'nbc': ['3695466']}
2018-07-20,NBC Shows,A.P. BIO,2018,1,9,Rosemary's Boyfriend,{'nbc': ['3692620']}
2018-07-20,NBC Shows,A.P. BIO,2018,1,8,We Don't Party,{'nbc': ['3688922']}
2018-07-20,NBC Shows,A.P. BIO,2018,1,7,Selling Out,{'nbc': ['3685137']}
2018-07-20,NBC Shows,A.P. BIO,2018,1,6,Freakin' Enamored,{'nbc': ['3681418']}
2018-07-20,NBC Shows,A.P. BIO,2018,1,5,Dating Toledoans,{'nbc': ['3675825']}
2018-07-20,NBC Shows,A.P. BIO,2018,1,4,Overachieving Virgins,{'nbc': ['3674152']}
2018-07-20,NBC Shows,A.P. BIO,2018,1,3,Burning Miles,{'nbc': ['3657879']}
2018-07-20,NBC Shows,A.P. BIO,2018,1,2,Teacher Jail,{'nbc': ['3657878']}
2018-07-20,NBC Shows,A.P. BIO,2018,1,1,Pilot: Catfish,{'nbc': ['3657085']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: December 16, 2017",{'nbc': ['3637252']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: December 9, 2017",{'nbc': ['3633181']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: December 2, 2017",{'nbc': ['3629345']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: November 18, 2017",{'nbc': ['3621995']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: November 11, 2017",{'nbc': ['3618094']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: October 28, 2017",{'nbc': ['3609986']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: October 21, 2017",{'nbc': ['3605958']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: October 14, 2017",{'nbc': ['3602213']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: October 7, 2017",{'nbc': ['3598226']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: September 23, 2017",{'nbc': ['3590225']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: September 16, 2017",{'nbc': ['3585917']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: September 9, 2017",{'nbc': ['3582214']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: August 26, 2017",{'nbc': ['3574789']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: September 2, 2017",{'nbc': ['3578469']}
2018-07-20,NBC Shows,ACCESS,0,2017,1,"Access Hollywood: July 1, 2017",{'nbc': ['3543950']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,1,Ghost Train- IMX,{'nbc': ['2911519']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,1,Ghost Train,{'nbc': ['2907948']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,2,The Main Attraction,{'nbc': ['2909093']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,3,Alamo Jobe,{'nbc': ['2909094']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,4,Mummy Daddy,{'nbc': ['2909095']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,5,The Mission,{'nbc': ['2909096']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,6,The Amazing Falsworth,{'nbc': ['2909097']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,7,Fine Tuning,{'nbc': ['2909098']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,8,Mr. Magic,{'nbc': ['2909099']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,9,Guilt Trip,{'nbc': ['2909100']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,10,Remote Control Man,{'nbc': ['2909101']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,11,Santa '85,{'nbc': ['2909102']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,12,Vanessa in the Garden,{'nbc': ['2909103']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,13,The Sitter,{'nbc': ['2909104']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,14,No Day at the Beach,{'nbc': ['2909105']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,15,One For the Road,{'nbc': ['2909106']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,16,Gather Ye Acorns,{'nbc': ['2909107']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,17,Boo!,{'nbc': ['2909108']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,18,Dorothy And Ben,{'nbc': ['2909109']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,19,"Mirror, Mirror",{'nbc': ['2909110']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,20,Secret Cinema,{'nbc': ['2909111']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,21,Hell Toupee,{'nbc': ['2909112']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,22,Grandpa's Ghost,{'nbc': ['2909113']}
2018-07-20,NBC Shows,AMAZING STORIES,1985,1,22,Ghost Town - H264 Embed,{'nbc': ['2911518']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,13,8,Judge Cuts 1,{'nbc': ['3760435']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,13,7,Best of Auditions,{'nbc': ['3756574']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,13,6,Auditions 6,{'nbc': ['3756572']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,13,5,Auditions 5,{'nbc': ['3749243']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,13,4,Auditions 4,{'nbc': ['3745704']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,13,3,Auditions 3,{'nbc': ['3741111']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,13,2,Auditions 2,{'nbc': ['3736724']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,13,1,Auditions 1,{'nbc': ['3732208']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,12,24,The Live Results Finale,{'nbc': ['3584398']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,12,23,The Live Performance Finals,{'nbc': ['3584397']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,12,22,Semi-Finals Results 2,{'nbc': ['3580577']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,12,21,Semi-Finals 2,{'nbc': ['3580576']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,12,20,Semi-Finals Results 1,{'nbc': ['3576380']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,12,19,Semi-Finals 1,{'nbc': ['3576377']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,12,18,Live Results 3,{'nbc': ['3573863']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,12,17,Live Show 3,{'nbc': ['3573861']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,12,16,Live Results 2,{'nbc': ['3568534']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,12,15,Live Show 2,{'nbc': ['3568532']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,12,14,Live Results 1,{'nbc': ['3565693']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,12,13,Live Show 1,{'nbc': ['3565691']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,11,23,Live Finale Results,{'nbc': ['3096769']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,11,22,Live Finale,{'nbc': ['3096767']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,11,21,Semifinals Results 2,{'nbc': ['3091964']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,11,20,Semifinals 2,{'nbc': ['3091963']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,11,19,Semifinals Results 1,{'nbc': ['3087945']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,11,18,Semifinals 1,{'nbc': ['3087943']}
2018-07-20,NBC Shows,AMERICA'S GOT TALENT,0,11,17,Live Results 3,{'nbc': ['3085282']}
